geoid,state,county,tract,block
360470145002000,36,047,014500,2000
360050233014000,36,005,023301,4000
360850207023005,36,085,020702,3005
360610269005001,36,061,026900,5001
360050385004001,36,005,038500,4001
360610219002000,36,061,021900,2000
360050225005001,36,005,022500,5001
360470082002001,36,047,008200,2001
360470527002001,36,047,052700,2001
360470818001001,36,047,081800,1001
360470341001001,36,047,034100,1001
360050072002000,36,005,007200,2000
360610038007000,36,061,003800,7000
360610022021000,36,061,002202,1000
360050391006001,36,005,039100,6001
360610111001001,36,061,011100,1001
360050394001000,36,005,039400,1000
360050205021000,36,005,020502,1000
360470874012000,36,047,087401,2000
360610185001000,36,061,018500,1000
360470353022001,36,047,035302,2001
360470359001001,36,047,035900,1001
360470271001003,36,047,027100,1003
360050401001001,36,005,040100,1001
360470858001001,36,047,085800,1001
360050263002000,36,005,026300,2000
360470112002001,36,047,011200,2001
360470305004001,36,047,030500,4001
360610169002000,36,061,016900,2000
360470798012000,36,047,079801,2000
360470826003002,36,047,082600,3002
360470890004000,36,047,089000,4000
360610132031000,36,061,013203,1000
360050229015001,36,005,022901,5001
360470516021000,36,047,051602,1000
360470347002001,36,047,034700,2001
360470431004000,36,047,043100,4000
360050054003000,36,005,005400,3000
360610261007000,36,061,026100,7000
360470441001002,36,047,044100,1002
360050210012000,36,005,021001,2000
360050273004001,36,005,027300,4001
360610215002001,36,061,021500,2001
360470387003000,36,047,038700,3000
360470129022004,36,047,012902,2004
360470435001000,36,047,043500,1000
360050330001001,36,005,033000,1001
360471126001002,36,047,112600,1002
360810998021005,36,081,099802,1005
360610127003000,36,061,012700,3000
360050175001001,36,005,017500,1001
360811032024005,36,081,103202,4005
360470062003000,36,047,006200,3000
360810845002000,36,081,084500,2000
360470379003003,36,047,037900,3003
360470430001000,36,047,043000,1000
360470860003000,36,047,086000,3000
360470321002000,36,047,032100,2000
360050035003001,36,005,003500,3001
360050127011001,36,005,012701,1001
360850319021004,36,085,031902,1004
360471152003002,36,047,115200,3002
360610247004000,36,061,024700,4000
360610245006001,36,061,024500,6001
360050177011002,36,005,017701,1002
360610206002000,36,061,020600,2000
360470098001001,36,047,009800,1001
360810998012000,36,081,099801,2000
360810992001005,36,081,099200,1005
360050343002004,36,005,034300,2004
360050159002000,36,005,015900,2000
360810554001000,36,081,055400,1000
360610182003000,36,061,018200,3000
360810181012000,36,081,018101,2000
360810462003002,36,081,046200,3002
360050077001003,36,005,007700,1003
360050462081002,36,005,046208,1002
360610166004001,36,061,016600,4001
360470486003000,36,047,048600,3000
360470065001000,36,047,006500,1000
360050419006000,36,005,041900,6000
360470227002000,36,047,022700,2000
360050056003003,36,005,005600,3003
360050050014000,36,005,005001,4000
360470780002002,36,047,078000,2002
360050079004001,36,005,007900,4001
360610233003000,36,061,023300,3000
360810267002002,36,081,026700,2002
360610277004000,36,061,027700,4000
360470531021002,36,047,053102,1002
360470417004001,36,047,041700,4001
360810034001003,36,081,003400,1003
360610134004000,36,061,013400,4000
360610287002001,36,061,028700,2001
360810539013001,36,081,053901,3001
360050131001002,36,005,013100,1002
360470329001000,36,047,032900,1000
360610291005000,36,061,029100,5000
360050117011003,36,005,011701,1003
360610253005001,36,061,025300,5001
360470371004000,36,047,037100,4000
360470924002006,36,047,092400,2006
360050033003002,36,005,003300,3002
360470448002000,36,047,044800,2000
360050211003001,36,005,021100,3001
360470508043002,36,047,050804,3002
360470315004003,36,047,031500,4003
360810069002002,36,081,006900,2002
360470506003001,36,047,050600,3001
360050143001003,36,005,014300,1003
360470800001001,36,047,080000,1001
360050183013001,36,005,018301,3001
360810679003002,36,081,067900,3002
